Date,Close_NIKE,Open_NIKE,High_NIKE,Low_NIKE,Close_DJIA,Open_DJIA,High_DJIA,Low_DJIA
1/23/2019,80.32,81.19,81.4,80.22,24575.62,24577.25,24700.98,24307.17
1/24/2019,80.22,80.6,80.87,79.55,24553.24,24579.96,24626.3,24422.73
1/25/2019,81.28,81.25,81.33,80.43,24737.2,24687.21,24860.15,24676.75
1/28/2019,81.88,79.8,80.51,79.74,24528.22,24596.98,24596.98,24323.94
1/29/2019,81.51,80.36,80.83,79.84,24579.96,24519.62,24674.87,24504.04
1/30/2019,81.99,80.4,81.29,80.06,25014.86,24826.52,25109.62,24790.9
1/31/2019,82.86,81.18,81.95,80.71,24999.67,24954.48,25049.62,24842.09
2/1/2019,82.71,81.83,81.9,81.13,25063.89,25025.31,25193.15,24982.49
2/4/2019,82.39,81.22,82,80.83,25239.37,25062.12,25239.91,24977.67
2/5/2019,82.36,81.98,83.19,81.93,25411.52,25287.93,25427.32,25287.65
2/6/2019,83.68,82.51,82.71,81.64,25390.3,25371.57,25439.04,25312.06
2/7/2019,84.71,82.15,82.85,81.71,25169.53,25265.81,25314.26,25000.52
2/8/2019,85.4,82.25,82.72,81.94,25106.33,25042.36,25106.39,24883.04
2/11/2019,84.68,82.95,83.83,82.87,25053.11,25142.81,25196.75,25009.1
2/12/2019,85.38,83.97,84.84,83.62,25425.76,25152.03,25458.98,25152.03
2/13/2019,84.57,84.76,85.59,84.76,25543.27,25480.86,25625.95,25480.86
2/14/2019,84.84,84.61,85.14,83.7,25439.39,25460.65,25558.9,25308.09
2/15/2019,83.95,85.49,85.78,85.1,25883.25,25564.63,25883.72,25564.63
2/19/2019,84.76,84.58,85.05,84.46,25891.32,25849.85,25961.44,25820.01
2/20/2019,85.17,84.63,84.95,84.35,25954.44,25872.26,25986.2,25846.48
2/21/2019,85.8,83.57,84.15,83.35,25850.63,25922.41,25938.88,25762.21
2/22/2019,86.17,84.2,85.02,84.03,26031.81,25906.27,26052.9,25906.27
2/25/2019,85.73,85.39,85.73,84.96,26091.95,26126.15,26241.42,26080.66
2/26/2019,87.16,85.31,86.08,85.2,26057.98,26051.61,26155.29,25966.01
2/27/2019,85.64,85.53,86.22,85.06,25985.16,25995.6,26039.68,25877.24
2/28/2019,85.44,86.08,86.4,85.68,25916,25984.28,26029.21,25896.56
3/1/2019,85.13,86.93,87.99,86.24,26026.32,26019.67,26143.92,25914.37
